Product ID,Picture URL,Description,Health Facts,Highlights
U11,https://media.ulta.com/i/ulta/2543143?w=78&h=78&fmt=auto,Joico Defy Damage Protective Shampoo is a rich shampoo that gently cleanses away impurities while helping boost hair's natural defense against daily damage.,Cruelty Free,"80% less breakage*, 5X stronger hair*, You want to maintain over 90% of color vibrancy**, See results after the very first use, Leaves hair soft, shiny, and healthy, Decadently rich lather for a luxurious cleansing experience, Gently sloughs away dirt and debris without roughing up the hair cuticle, *Against combing breakage on damaged hair during heat styling; when using Defy Damage Protective Shampoo & Masque vs.a non conditioning shampoo, **After 10 shampoos; when using Defy Damage Protective Shampoo and Masque "
U12,https://media.ulta.com/i/ulta/2206726?w=78&h=78&fmt=auto,"Replenish hair with Paul Mitchell Tea Tree Lavender Mint Moisturizing Shampoo. This daily, hydrating shampoo cleans and renews dry hair.","Vegan, Cruelty Free, Sustainable Packaging Brand, Give Back","NOTE: Paul Mitchell's packaging is getting a makeover and the product you receive may vary from the images that are shown, Cleanses, soothes + replenishes dry hair, Moisture-rich conditioners + amino acids improve strength, shine + manageability, Ideal for coarse + dry hair types Lavender, mint + tea tree provide a calming aromatherapy-inspired experience, Clear post-consumer recycled (PCR) packaging (bottles + jars made from 100% PCR; tubes made from 25%; excludes pumps, caps + closures) features a label that does not need to be removed prior to recycling as part of Paul Mitchell’s long-standing commitment to the environment, Shampoo bottle has a raised S differentiator to increase accessibility, Color safe, Paraben free, Gluten free"
U13,https://media.ulta.com/i/ulta/2609296?w=78&h=78&fmt=auto,"Matrix Food For Soft Hydrating Shampoo targets dry hair and instantly transforms it for touchably soft results, providing 7x more moisture for up to 72 hours when used as a system of Food For Soft Shampoo, Conditioner, or Mask & Oil vs non-conditioning shampoo.",,"Moisturizes while gently cleansing, Removes excess oil without stripping the necessary moisture dry hair needs, Targets dry hair and instantly transforms it for touchable soft results "
U14,https://media.ulta.com/i/ulta/2601427?w=78&h=78&fmt=auto,"Nourish and cleanse dry, weak, or brittle hair with Mielle Organic's scalp-tingling hair Rosemary Mint Strengthening Shampoo!","Clean Ingredients, Cruelty Free, Give Back","Infused with biotin, Gently cleanses and protects hair, Smells great! "
U15,https://media.ulta.com/i/ulta/2580404?w=78&h=78&fmt=auto,"Redken's Hair Cleansing Cream is a clarifying shampoo for all hair types and textures that removes product build-up, excess oil, and pollution residue in just one use.",Sustainable Packaging Brand,"For all hair types & textures, Suitable for color-treated hair, Removes product build-up, excess oil & pollution residue in just one use, Purifies, refreshes & leaves hair shiny, Instantly removes minerals found in hard water (copper, iron, magnesium, calcium), Removes pollution residue from hair, Strengthens hair cuticle & adds shine, Pairs perfectly with any Redken conditioner "
U16,https://media.ulta.com/i/ulta/2598755?w=78&h=78&fmt=auto,"Strength Recovery Shampoo infused with vegan squalane is a gentle cleansing shampoo for damaged hair that helps reduce breakage and leaves hair softer and smoother. Love Advanced Keratindose or Advanced Fiberstrong? Meet Strength Recovery, formulated with vegan squalane for ultimate damage repair.","Vegan, Cruelty Free, Sustainable Packaging Brand","Helps reduce breakage in damaged hair, Leaves hair softer and smoother, Rich lather helps wash impurities and build up away while preserving hairs integrity, Suitable for color-treated hair, 2023 Allure Best of Beauty Award Winner "
U17,https://media.ulta.com/i/ulta/2515942?w=78&h=78&fmt=auto,"Take your hair from flat to fab with Batiste Original Dry Shampoo - Clean & Classic. The waterless formula targets excess oil and grease at the roots. Just spray in, massage, style, and go. Batiste Dry Shampoo instantly makes your hair feel clean, fresh, with added body and texture.",Sustainable Packaging Brand,"The world's #1 dry shampoo has a new look!, Enjoy a clean and classic fragrance with subtle hints of powder, lavender, and musk, Use between washes to instantly refresh your hair, no water required, This waterless formula absorbs dirt and grease to revitalize dull and lifeless hair - now with keratin!, Removes oils for added texture and volume "
U18,https://media.ulta.com/i/ulta/2563137?w=78&h=78&fmt=auto,"This specially-formulated shampoo for color-treated hair preserves your investment from fading for up to 8 weeks, while it gently cleanses away dirt and debris. With every wash, you’ll also protect hair against future damage.",Cruelty Free,"Maintains over 82% of haircolor for up to 8 weeks*, Repairs & strengthens damaged hair**, Instantly 9X stronger hair †, Twice the shine † †, Gently cleanses color-treated hair, Improves elasticity and shine, Helps restore and protect hair*, When using K-PAK Color Therapy Shampoo and K-PAK Color Therapy Luster Lock Multi-Perfector, When using K-PAK Color Therapy Shampoo and K-PAK Color Therapy Luster Lock Multi-Perfector, ** Against combing breakage on damaged hair vs. a non-conditioning shampoo, † Against combing breakage on damaged hair vs. a non-conditioning shampoo; when using Luster Lock Treatment, † † vs. untreated hair; when using Luster Lock Glossing Oil "
U20,https://media.ulta.com/i/ulta/2620866?w=78&h=78&fmt=auto,"Biolage Scalp Sync Clarifying Shampoo is a clarifying shampoo that removes residue, buildup and excess oil & sebum. Infused with fermented tea and glycolic acid, it balances scalp moisture levels while restoring volume, shine, and lift to hair.","Vegan, Cruelty Free, Sustainable Packaging Brand","Clarifies the scalp and removes up to 100% residue removal, buildup and excess sebum, Restores volume and lift to hair, Leaves hair with a natural softness and shine, Infused with fermented tea and glycolic acid, it balances scalp moisture levels while restoring volume, shine, and lift to hair "
U21,https://media.ulta.com/i/ulta/2296952?w=78&h=78&fmt=auto,"Matrix's So Silver Purple Shampoo for Blonde Hair helps to brighten and banish unwanted yellow tones in blonde hair, add beautiful silver tones to platinum hair, or turn your gray into a stunning silver.",,"Color depositing purple shampoo, Neutralizes brassy or yellow tones in blonde and silver hair, Leaves cool finish "
U22,https://media.ulta.com/i/ulta/6021124?w=78&h=78&fmt=auto,Enjoy the lush lather and moisturizing goodness of Paul Mitchell Awapuhi Shampoo. Gentle yet thorough cleansing makes it great for daily use.,"Vegan, Cruelty Free, Sustainable Packaging Brand, Give Back","Brightens hair by removing dulling buildup, Hawaiian awapuhi helps prevent moisture loss, Special conditioners help improve hair texture and add volume, Multitasks as a luxurious body wash, Ideal for all hair types, especially fine + static-prone hair Refreshing cucumber melon scent with soft floral notes, Color safe, Paraben free, Gluten free"
U23,https://media.ulta.com/i/ulta/2616908?w=78&h=78&fmt=auto,"Living Proof Clarifying Detox Shampoo deeply cleanses hair, removing product + pollution buildup, excess oil, and heavy metals deposited from hard water.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Improves color vibrancy, Helps keep hair cleaner, longer*, Cream to lather formula that deeply cleanses without stripping hair, Removes product + pollution buildup, excess oil, and heavy metals deposited from hard water, Resets hair to a clean slate for optimal treatment effectiveness, Protects against discoloration from chlorine, Reveals soft, shiny, manageable hair, For all hair types, *When used with Living Proof conditioner "
U24,https://media.ulta.com/i/ulta/2565125?w=78&h=78&fmt=auto,"Pureology's Nanoworks Gold Shampoo is a rich, transformative sulfate-free shampoo that renews softness, manageability, and shine to cleanse dull, coarse, brittle, or very dry color-treated hair.","Vegan, Sustainable Packaging Brand","Strengthens hair, Renews softness, manageability, and shine, Provides extraordinary color protection, Contains less than 1% of synthetic fragrances, This product is 100% vegan, Recyclable packaging "
U25,https://media.ulta.com/i/ulta/2565123?w=78&h=78&fmt=auto,"Pureology's Strength Cure Blonde Purple Shampoo is a rich-lather, sulfate-free purple shampoo that tones and fortifies brassy, damaged and lightened hair.","Vegan, Sustainable Packaging Brand","Tones and neutralizes brassiness, Strengthens and fortifies lightened or blonde hair, Provides extraordinary color protection, Contains less than 1% of synthetic fragrances, This product is 100% vegan, Recyclable packaging "
U27,https://media.ulta.com/i/ulta/2552733?w=78&h=78&fmt=auto,"Boosted with 10 nourishing oils, PATTERN's creamy, gentle Hydration Shampoo cleanses curls and scalp and removes buildup and dirt without stripping away moisture. Bathe hair in a moisture-rich formula with ingredients like Honey, Aloe Vera and Coconut Oil.",,"Cleanses your hair and scalp, Removes buildup and dirt without stripping away moisture, Hair is left healthy and hydrated, Perfect for dry hair, Infused with Biotin, Contains a blend of 10 oils including Coconut Oil, Olive Oil, Avocado Oil and Sweet Almond Oil, Aloe and honey are natural humectants that attract hydration. Coconut Oil is known to seal in hydration., Great for all hair types, Clean and subtle scent, Great for 3B-4C curls, Founder Tracee Ellis Ross picked this fragrance to be clean and not overpowering. Notes are Jasmine, Bergamot and Sweet Sandalwood. "
U28,https://media.ulta.com/i/ulta/2592294?w=78&h=78&fmt=auto,"The Kitsch Rice Water Protein Strengthening Shampoo Bar repairs damaged follicles and ends, making hair smooth & soft to the touch. Prevents split ends and encourages hair growth, while adding shine & bounce to dull, dry hair.",,"Repairs damaged follicles and ends, making hair smooth & soft to the touch., Prevents split ends and encourages hair growth, while adding shine & bounce to dull, dry hair., Detangles & conditions the hair, 1 bar is estimated to last 100 washes, which will save two bottles of liquid shampoo or conditioner., Strengthen & Grow "
U29,https://media.ulta.com/i/ulta/2618341?w=78&h=78&fmt=auto,"Sol de Janeiro's Brazilian Joia Strengthening + Smoothing Shampoo is a bond-repairing, weightlessly hydrating, sulfate-free, color-safe shampoo for soft, healthy-looking hair infused with the iconic Cheirosa 62 fragrance.","Vegan, Clean Ingredients, Cruelty Free, Give Back"," A blend of hair-healthy Brazilian ingredients cleanses hair, provides lightweight hydration, and reduces damage, frizz and split ends. Transform your next wash day with Sol de Janeiro's iconic Cheirosa 62 fragrance., Hair Type: Straight, Wavy, & Curly, Hair Texture: Fine and Medium, Sulfate Free, Vegan, Gluten Free, Paraben Free, Cruelty Free"
U30,https://media.ulta.com/i/ulta/2604513?w=78&h=78&fmt=auto,"Perfect Hair Day Dry Shampoo. The #1 dry shampoo brand*. A dry shampoo that actually cleans hair by absorbing oil, sweat, and odor while also adding body and texture.*Source: Circana/U.S. Prestige Beauty Total Measured Market, Hair Sales, January–December 2022.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Absorbs oil, sweat, and odor, Delivers a fresh, time-release scent, Makes hair look, feel, and smell clean "
U31,https://media.ulta.com/i/ulta/2542050?w=78&h=78&fmt=auto,"Bumble and bumble Hairdresser's Invisible Oil Shampoo is a frizz reducing, hydrating shampoo that instantly transforms dry hair - leaving it soft and smooth without the weight. Plus, it detangles to help protect against breakage.","Cruelty Free, Sustainable Packaging Brand","Hydrates, Reduces Frizz, Shine, Softens, Oil-infused, Detangles, Color-safe, Free of sulfate cleansers, Luxurious blend of six featherlight oils, For Medium to Thick, Straight to Curly Hair, For Untreated, Dry, or hair damaged from Heat, Chemical, or Physical styling, Ideal for hair types seeking hydration and frizz reduction. "
U32,https://media.ulta.com/i/ulta/2600267?w=78&h=78&fmt=auto,"Briogeo Scalp Revival MegaStrength+ Dandruff Relief Shampoo Charcoal + AHA/BHA is a powerful yet gentle dandruff relief shampoo that harnesses the power of salicylic and lactic acids to help eliminate scalp flaking and irritation, without stripping hair of vital moisture and nutrients.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Helps eliminate and prevent recurrence of scalp itching, irritation, redness, and flaking due to dandruff, psoriasis, and seborrheic dermatitis with the power of salicylic acid., Gently detoxifies and cleanses hair and scalp with Binchotan charcoal, without stripping hair of vital moisture + nutrients., Clean and naturally derived, formulated 6-free, and made with Briogeo's proprietary NOVA Complex to purify and refresh scalp and nourish hair. "
U33,https://media.ulta.com/i/ulta/2621448?w=78&h=78&fmt=auto,"So much volume, the neighbours'll complain. BondiBoost Thickening Therapy Shampoo instantly oomphs your hair from roots to ends with all natural ingredients.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand","For volume that takes your hair to the next level, look no further than BondiBoost Thickening Therapy Shampoo, A shower hero that’ll clean you up without weighing you down. Your hair’ll be instantly oomphed from roots to ends thanks to the supercharged blend of volumising ingredients, Meet the team: seaweed extract, nature’s gift for strengthening strands, Arginine, for fullness and preventing shedding, Vegan Marine Collagen for a smooth, supermodel-worthy finish, Quinoa for repair, BondiBoost's long-time hero, the GOAT: Aloe, which contains enzymes that break down dead skin cells on your scalp that can clog hair follicles, clearing the way for new growth, Whip out the slow-mo feature on your phone camera because you’re gonna want to show your volumised, silky locks off, big time Clinically proven to increase hair volume by 57% after just one use!, Volume lasts all day (that’s clinically proven too, btw), Coats & seals your hair cuticles, hiding hair damage after 6 uses, Does all of the above without ever weighing down your hair or making it feel stringy!, Cruelty-free, Vegan, No bad guys (parabens, sulphates, silicones)"
U34,https://media.ulta.com/i/ulta/2622377?w=78&h=78&fmt=auto,"Redken's Acidic Bonding Curls is a silicone-free and sulfate-free shampoo formulated with avocado oil, shea butter and Curl-Bond Technology to help repair damaged curls and coils, while hydrating and defining curls.",Sustainable Packaging Brand,"Builds bonds & repairs curl strength, Hydrates and improves curl elasticity, Great for curl types 3A-4C, Achieve lasting hydration and moisture balance for up to 4 days with the use of the Acidic Bonding Curls System, Achieve lasting hydration and moisture balance for up to 4 days of shiny and defined curls with the use of the Acidic Bonding Curls System, Curl Bond Technology with Citric Acid and Glycine "
U35,https://media.ulta.com/i/ulta/2592070?w=78&h=78&fmt=auto,"Virtue Flourish Shampoo for Thinning Hair delicately removes scalp buildup, cleanses the hair shaft, and clears debris from follicle openings, creating an environment for healthy growth.","Vegan, Cruelty Free","Provides lightweight hydration and a sheer ''moisture shield'' to thicken hair and keep the fibers supple, Increase hair volume and fullness, Leaves hair feeling healthier and easier to style, Nourishes and strengthens, reducing the rate of breakage and helping hair grow to maturity A gentle, lathering shampoo with a clean finish, A revolutionary new approach to hair loss, ideal for:, All women with thinning hair, All women with thinning hair, Safe for chemically treated and colored hair, Safe for chemically treated and colored hair"
U37,https://media.ulta.com/i/ulta/2259593?w=78&h=78&fmt=auto,"Color Wow Color Security Shampoo is the only 100% clean, sulfate-free shampoo that leaves no residues for truly clean hair + scalp.",,"One rich-lathering, sulfate-free, residue-free formula for all hair types, Unlike most shampoos, every ingredient rinses off for optimal hair and scalp health, For all hair types. Helps promote optimal hair and scalp condition and healthy hair growth. Perfect for extensions, Color protect shampoo contains no silicones, thickening, conditioning or anti-frizz ingredients that stay behind and can weigh hair down, dull it, cause scalp irritation and even hair loss "
U39,https://media.ulta.com/i/ulta/2614261?w=78&h=78&fmt=auto,"Lather in luxury with Awapuhi Wild Ginger Nourishing Shampoo. This Paul Mitchell best-seller gently cleanses, protects and repairs damaged hair.","Cruelty Free, Sustainable Packaging Brand, Give Back","Ultra-rich lather, Thoroughly cleanses while protecting hair color, Helps rebuild + repair brittle strands, Ideal for dry, damaged + color-treated hair Made from at least 25% PCR (post-consumer recycled) packaging (percentages may vary/excludes closures), Ginger tea scent, Color safe, Sulfate free (without SLS, SLES, ALS), Paraben free"
U40,https://media.ulta.com/i/ulta/2592977?w=78&h=78&fmt=auto,"Living Proof's Restore Shampoo kicks damage to the curb while gently cleansing and reversing damage, making hair look and feel healthier.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Removes dirt, sweat, oil, pollution, and product buildup, Luxe lather gently yet effectively cleanses without stripping or over drying strands, Leaves hair softer, smoother, and with healthier movement, Protects hair against environmental damage, color fade, and breakage while repairing damage from everyday stressors, Keeps hair cleaner, longer, Best for colored, chemically treated, weakened, or damaged hair, Cruelty-free. Vegan. Color safe. Safe for chemically treated hair., What's New: Now prevents 70% of damage*, reinforces hair strength with new emollient ingredients, and repairs and protects from all sources of damage. Now has even more strengthening and reparative benefits to leave hair 4x stronger*, *After 1 use of Restore Shampoo + Conditioner v. untreated "
U41,https://media.ulta.com/i/ulta/2550682?w=78&h=78&fmt=auto,Sebastian Dark Oil Lightweight Shampoo cleanses while adding natural body and shine without weighing down the hair.,,"Lightweight shampoo, Incredible fragrance, Infused with a special blend of oils, Adds body to the hair "
U42,https://media.ulta.com/i/ulta/6021667?w=78&h=78&fmt=auto,"Give your hair a deep clean with this lemony fresh clarifying shampoo. Shampoo Two by Paul Mitchell leaves hair squeaky-clean, shiny and full of body.","Vegan, Cruelty Free, Sustainable Packaging Brand, Give Back","Deeply cleanses hair + removes dulling buildup, Ideal for all hair types, especially oily hair, Great for frequent styling product users Sharp, crisp, energizing lemon scent, Color safe, Paraben free"
U43,https://media.ulta.com/i/ulta/6021122?w=78&h=78&fmt=auto,"An everyday essential. Shampoo One from Paul Mitchell provides gentle but thorough cleansing, making it perfect for daily use.","Vegan, Cruelty Free, Sustainable Packaging Brand, Give Back","Leaves hair clean + healthy-looking, Panthenol and wheat-derived conditioners help improve hair's surface texture + manageability, Ideal for all hair types Creamy tropical coconut scent with a hint of crushed pineapple, Color safe, Paraben free"
U44,https://media.ulta.com/i/ulta/2605205?w=78&h=78&fmt=auto,"Odele Clarifying Shampoo washes away buildup from product, pollutants, hard water deposits + chlorine. This salon-grade wash brings you back to neutral using sulfate-free lathering cleansers and chelation technology. Get your hair back into its birthday suit and look forward to a fresh start.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","A deep clean that brings hair back to neutral, Removes product buildup, Removes chlorine and heavy metal deposits from hard water, Best for all hair types and textures, Limit usage to 1 to 2 times per week Dermatologist Tested, Color Safe, Vegan, Natural fragrance of cucumber, ylang ylang + oak moss, Pediatrician Tested, Gender Neutral, Woman Owned + Operated"
U45,https://media.ulta.com/i/ulta/2614448?w=78&h=78&fmt=auto,"Kenra Triple Repair Shampoo is sulfate-free for all damaged hair types. Formulated to offer 3 transformative benefits: Bond repair, seal split ends, and protect & fortify strands against everyday damage.","Vegan, Cruelty Free","8x stronger hair after a single use when used as a system, Visibly mends up to 90% split ends in one use, DualBond technology that only targets broken/weak bonds where needed, Protects strands against heat, color damage, & environmental pollution, 85% vibrancy retention, Hair looks and feels healthy in just one use, For all hair types & textures, Safe for daily use, 95% Recycled Plastic "
U46,https://media.ulta.com/i/ulta/2620864?w=78&h=78&fmt=auto,Biolage Scalp Sync Calming Shampoo is a gentle shampoo for dry & sensitive scalps infused with fermented tea and glycolic acid to calm the scalp and provide weightless hydration.,"Vegan, Cruelty Free, Sustainable Packaging Brand","Gently cares for hair, making it smooth and more manageable with a healthier-looking scalp, Prevents dryness and tightness, Calms with hydration, Promotes a healthy scalp, Infused with fermented tea and glycolic acid to calm the scalp and provide weightless hydration "
U47,https://media.ulta.com/i/ulta/2599994?w=78&h=78&fmt=auto,"Gently cleanse hair and scalp, sealing the cuticle to enhance shine with apple cider vinegar, argan oil and an abundance of nourishing superfoods in AG Care 98% Plant-Based Essentials Balance Apple Cider Vinegar Sulfate-Free Shampoo.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back",Enhances shine + softness 
U48,https://media.ulta.com/i/ulta/2622430?w=78&h=78&fmt=auto,Kenra's Volume Shampoo increases volume by up to 45% when used as a system with Volume Shampoo and Conditioner. This shampoo provides noticeable lift at the root while leaving hair feeling hydrated without weighing it down.,"Vegan, Cruelty Free","Creates body and fullness, Detangles and leaves hair feeling hydrated, Ideal for normal to fine hair, Adds shine, Color safe, Increase volume by up to 45%* with Kenra*, *vs. fine, untreated hair, when using Kenra Volume Shampoo & Conditioner "
U49,https://media.ulta.com/i/ulta/2303413?w=78&h=78&fmt=auto,"Take your hair from flat to fab with Batiste Bare Dry Shampoo - Barely Scented. Batiste's waterless formula targets excess oil and grease at the roots. With a subtle clean and light scent, Batiste Bare refreshes your hair without overpowering or competing with your perfume.",Sustainable Packaging Brand,"Natural & Light fragrance with a smidge of freesia and lemon, Removes oil effectively, leaving hair looking clean and feeling fabulous without drying it out, Gently removes oil, Long lasting freshness, With keratin, Award winning #1 brand "
U50,https://media.ulta.com/i/ulta/2608585?w=78&h=78&fmt=auto,Cleanse and prepare the hair with Wella's Ultimate Repair shampoo to remove all the small impurities that can be harmful to the hair and start to repair.,,"Strengthens and repairs for a moisturized and smooth look and feel, Removes all small impurities, Starts rebuilding the hair Luxurious lather, Anti-metal actives to detox"
U51,https://media.ulta.com/i/ulta/2583169?w=78&h=78&fmt=auto,"Perfect Hair Day (PhD) Advanced Clean Dry Shampoo. The #1 dry shampoo brand*. A dry shampoo that removes oil, sweat, and odor while adding softness and shine for that fresh-out-of-the-shower look and feel.*Source: Circana/U.S. Prestige Beauty Total Measured Market, Hair Sales, January–December 2022.","Vegan, Clean Ingredients, Cruelty Free, Sustainable Packaging Brand, Give Back","Balances scalp's sebum levels, Provides pollution protection "
U52,https://media.ulta.com/i/ulta/2283681?w=78&h=78&fmt=auto,"Take your hair from flat to fab with Batiste Tropical Dry Shampoo - Coconut & Exotic. Our waterless formula targets excess oil, dirt, and grease at the roots. Batiste Tropical locks in subtle, exotic scents of coconut, vanilla, and jasmine that never overpower.",Sustainable Packaging Brand,"Enjoy an exotic fragrance with hints of coconut, jasmine, and peach, This waterless formula absorbs dirt and grease to revitalize dull and lifeless hair - now with keratin! "
U53,https://media.ulta.com/i/ulta/2551484?w=78&h=78&fmt=auto,"Time-saving Joico Weekend Hair Dry Shampoo delivers a volume-boosting, luxurious, just-washed fullness, clean scent, and velvety softness in seconds; while doubling the longevity of investment salon hair color to keep the big fade away.",Cruelty Free,"Instantly absorbs excess oil at the roots, Hair feels refreshed and clean, With every touch, Their encapsulated fragrance keeps hair smelling fresh and clean all day, Haircolor lasts 2X longer*, Leaves hair feeling velvety soft, Adds light volume and texture, *When using Joico Weekend Hair Dry Shampoo every other wash vs. a daily shampoo and conditioner "
U54,https://media.ulta.com/i/ulta/2543696?w=78&h=78&fmt=auto,Biolage Color Last Purple Shampoo neutralizes brass & unwanted warm tones while conditioning and protecting hair from breakage. The combination of pure purple pigments with a blend of fig and orchid keeps your blonde healthy and conditioned! Packaging may vary.,"Vegan, Cruelty Free, Sustainable Packaging Brand","Toning purple shampoo that neutralizes brass and warm, yellow tones, Conditions and protects hair from breakage for soft, silky hair "
U56,https://media.ulta.com/i/ulta/2594004?w=78&h=78&fmt=auto,"Verb Purple Shampoo cleanses and brightens to bring blondes back to life. Formulated with professional grade violet pigment and açaí extract, this shampoo was designed to neutralize brassy yellow hues in blonde, grey and silver hair tones.","Vegan, Cruelty Free","Neutralizes brassy yellow hues in natural or color-treated blonde, grey and silver hair tones., Gently cleanses and brightens hair. "
U57,https://media.ulta.com/i/ulta/2622448?w=78&h=78&fmt=auto,"Kenra's Color Protecting Shampoo maintains over 95% of color vibrancy through 40 washes when used as a sytem with Color Protecting Shampoo and Conditioner. This shampoo gently cleanses hair for daily color protection, leaving hair looking vibrant, shiny and nourished.","Vegan, Cruelty Free","Ph Balanced to lock in color pigments, Safe for daily color protection use, Enhances shine, Maintain over 95% color vibrancy through 40 washes*, *when using Kenra Color Protecting Shampoo & Conditioner "
U58,https://media.ulta.com/i/ulta/2596530?w=78&h=78&fmt=auto,"Batiste Dry Shampoo Overnight Deep Cleanse works overnight so you can wake up to fresher, cleaner-looking hair.",Sustainable Packaging Brand,"Removes Impurities, Works overnight, Wake up to fresher hair "
